name,quadrant,ring,isNew,description
PwC Google Workspace (G-Suite),Adopt,Platforms,TRUE,"<p>Google Workspace comprises Gmail, Chat, Meet, Calendar; Drive for storage; Docs, Sheets, Slides, Forms, and Sites for collaboration; and an Admin panel and Vault for managing users and the services. <a href=""https://workspace.google.se/intl/en/"">Google Workspace</a> </p>"
SQL server 2017,Adopt,Platforms,TRUE,"<p>SQL Server 2017 represents a major step towards making SQL Server a platform that gives you choices of development languages, data types, on-premises or cloud, and operating systems by bringing the power of SQL Server to Linux, Linux-based Docker containers, and Windows. EOL Mainstream support October 11, 2022. Extended support adds 5 more years.<a href=""https://docs.microsoft.com/en-us/sql/sql-server/what-s-new-in-sql-server-2017?view=sql-server-ver15"">SQL Server 2017</a> </p>"
Azure App Service plan,Adopt,Platforms,TRUE,"<p>In App Service (Web Apps, API Apps, or Mobile Apps), an app always runs in an App Service plan. In addition, Azure Functions also has the option of running in an App Service plan. An App Service plan defines a set of compute resources for a web app to run. These compute resources are analogous to the server farm in conventional web hosting. One or more apps can be configured to run on the same computing resources (or in the same App Service plan).<a href=""https://docs.microsoft.com/en-us/azure/app-service/overview-hosting-plans"">App service plan</a> <p>"
PowerBI,Adopt,Platforms,TRUE,"<p>Power BI is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards.<a href=""https://en.wikipedia.org/wiki/Microsoft_Power_BI"">Power BI</a><p>"
Azure stack,Adopt,Platforms,TRUE,"<p>Microsoft Azure Stack is a true hybrid cloud computing solution which is an extension of Azure allowing organizations to provide Azure services using their own on-premises data centers. The data centers convert into a Public Cloud that runs Microsoft’s Azure Cloud platform.The basic principle of the Azure Stack is to enable organizations to hold sensitive data and information with their own data centers while giving the ability to reach the public cloud of Azure. Similar to Azure, Azure Stack services run on top of Microsoft Hyper-V on Windows and uses Microsoft’s Networking and storage solution to function seamlessly.<a href=""https://www.sherweb.com/blog/cloud-server/microsoft-azure-stack/"">Azure Stack</a><p>"
MS SharePoint Online,Adopt,Platforms,TRUE,"<a>SharePoint Online, while available on Office 365, is a collaborative platform that integrates with Microsoft Office. SharePoint Online, which can be configured for a company’s usage, allows an enterprise to store, retrieve, search, archive, track, manage, and report on digitized documents.<a href=""https://www.knowledgelake.com/blog/difference-between-office-365-and-sharepoint-online/"">MS Sharepoint online</a><p>"
Active Directory (OneAD/global AD),Adopt,Platforms,TRUE,"<a>One-AD is PwC Swedens new way of managing Active directory under PwC global`s regim. There are multiple players involved in the solution such as Quest, One-identity and Sailpoint</a><p>"
Azure Blob Storage,Adopt,Platforms,TRUE,"<a>Azure Blob storage is a service for storing large amounts of unstructured object data, such as text or binary data. You can use Blob storage to expose data publicly to the world, or to store application data privately. Common uses of Blob storage include:

*Serving images or documents directly to a browser
*Storing files for distributed access
*Streaming video and audio
*Storing data for backup and restore, disaster recovery, and archiving
*Storing data for analysis by an on-premises or Azure-hosted service
<a href=""https://docs.microsoft.com/en-us/azure/databricks/data/data-sources/azure/azure-storage"">Azure Blob storage</a><p>"
Global VDI,Trial,Platforms,TRUE,"<p>VDI on Azure is the use of Azure resources and services to create an infrastructure for the remote delivery of desktops. It is based on Azure’s Windows Virtual Desktop (WVD) service, which you can manage with Remote Desktop Session Host. The service is designed to enable you to deliver Windows desktops to your users on nearly any client device.The Windows Virtual Desktop service offers:Support for multi-user deployments with Windows 10Integration with Microsoft solutions, such as Office 365Extended support for Windows 7 including security via Microsoft 365.<a href=""https://cloud.netapp.com/blog/azure-anf-blg-the-complete-guide-to-vdi-on-azure"">Global VDI</a><p>"
Next gen cloud,Trial,Platforms,TRUE,"<p>PwC globals solution for creating app enironments in which you can create and manage Azure resorces like eg: IaaS , DaaS , storage, key vault</p>"
O365 teams,Trial,Platforms,TRUE,"<p>Microsoft Teams is a proprietary business communication platform developed by Microsoft, as part of the Microsoft 365 family of products. Teams primarily competes with the similar service Slack, offering workspace chat and videoconferencing, file storage, and application integration.[8] Teams is replacing other Microsoft-operated business messaging and collaboration platforms, including Skype for Business and Microsoft Classroom.<a href=""https://en.wikipedia.org/wiki/Microsoft_Teams"">Microsoft Teams</a></p>"
Azure global,Trial,Platforms,TRUE,<p>Global Azure PwC Tenant where PwC Sweden can create Azure resources in the appropriate subscriptions that are dedicated to us</a></p>
Google bots,Assess,Tools,TRUE,"<p>Chat bots for Goole can be assessed <a href=""https://developers.google.com/hangouts/chat/concepts/bots""></a></p>"
Edge browser,Assess,Tools,TRUE,"<p>Microsoft Edge is a cross-platform web browser developed by Microsoft. It was first released for Windows 10 and Xbox One in 2015, then for Android and iOS in 2017, for macOS in 2019, and as a preview for Linux in October 2020. Edge includes integration with Cortana and has extensions hosted on the Microsoft Store.</a></p>"
AMS(Visolit),Hold,Tools,TRUE,<p>Visolit assetmanagement system - replaced by servicenow asset management</p>
IE11,Hold,Tools,TRUE,"<p>On August 17, 2020, Microsoft published a timeline indicating that Microsoft Teams will stop supporting Internet Explorer 11 on November 30, 2020 whereas Microsoft 365 products will end Internet Explorer 11 support on August 17, 2021.</p>"
SSAS - Dimensional Cubes,Hold,Tools,TRUE,"<p>SSAS (SQL Server Analysis Services) has two variants, Multidimensional and Tabular. Multidimensional is the older and is not supported in Azure. </p>"
Slack,Hold,Tools,TRUE,"<p>Chat-tool, liked by developers, but not approved for business use by PwC</p>"
MongoDB,Hold,Tools,TRUE,"<p>MongoDB is a cross-platform document-oriented database program. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas. MongoDB is developed by MongoDB Inc. and licensed under the Server Side Public License. </p>"
Qlik Sense,Hold,Tools,TRUE,<p>Data Visualization tool - similar capabilities to Power BI</p>
Tableau,Hold,Tools,TRUE,<p>Data Visualization tool - similar capabilities to Power BI</p>
Cisco Smart Meeting,Hold,Tools,TRUE,"<p>Cisco Meeting Server brings premises-based video, audio, and web communication together to meet the collaboration needs of the modern workplace. It works with third-party devices, and provides an enjoyable and intuitive user experience.</p>"
Terraform,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://www.terraform.io/"">Terraforms</a> is an IaC framework that focuses on creating, modifying, and removing services on the cloud.</p>"
HCL language,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://www.linode.com/docs/guides/introduction-to-hcl/"">HCL</a> is a configuration language authored by HashiCorp. HCL is used with HashiCorp’s cloud infrastructure automation tools, like Terraform. The language was created with the goal of being both human and machine friendly. It is JSON compatible, which means it is interoperable with other systems outside of the Terraform product line.</p>"
ARM Template,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://docs.microsoft.com/en-us/azure/azure-resource-manager/templates/"">Azure Resource Manager</a> templates are JavaScript Object Notation (JSON) files that define the infrastructure and configuration for your project. PwC has adopted ARM templates in many applications to automate infrastructure creation on Azure.</p>"
C# .Net Core,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://docs.microsoft.com/en-us/dotnet/core/introduction"">C# .Net Core</a> is a type-safe object-oriented language that enables developers to build secure and robust applications that run in the .NET ecosystem. .Net Core applications can be hosted on many operating systems e.g. Widows, Linux, macOS </p>"
SQL,Adopt,languages-and-frameworks,TRUE,"<p>SQL- Structured Query Language is a domain-specific language used in programming and designed for managing data held in a relational database management system (RDBMS).. It is particularly useful in handling structured data, i.e. data incorporating relations among entities and variables. MS SQL server uses SQL language for querying the relational data in various ways.</p>"
Angular & React,Adopt,languages-and-frameworks,TRUE,<p>Angular and React are both TypeScript-based open-source web application frameworks for developing front-end applications that can run on all web browsers.</p>
Powershell,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://docs.microsoft.com/en-us/powershell/scripting/overview?view=powershell-7.1"">PowerShell </a> is a cross-platform task automation and configuration management framework, consisting of a command-line shell and scripting language.PowerShell is built on top of the .NET Common Language Runtime (CLR), and accepts and returns .NET objects.</p>"
Javascript,Adopt,languages-and-frameworks,TRUE,"<p>Javascript is a programming language that is vastly used for developing web based client-side applications. JavaScript supports event-driven, functional, and imperative programming style.</p>"
YAML,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://yaml.org/"">YAML </a> is a human-readable data-serialization language. PwC is using YAML for writing build pipelines in azure devops projects.</p>"
Google App Script,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://developers.google.com/apps-script/overview"">Google Apps Script</a> is a rapid application development platform that makes it fast and easy to create business applications that integrate with Google Workspace.</p>"
CSS,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://www.w3.org/Style/CSS/Overview.en.html"">Cascading Style Sheets (CSS)</a> is a simple mechanism for adding style (e.g., fonts, colors, spacing) to Web documents..</p>"
HTML 5,Adopt,languages-and-frameworks,TRUE,<p>HTML5 is a markup language used for structuring and presenting content on the World Wide Web. It is the fifth and last major HTML version that is a World Wide Web Consortium (W3C) recommendation.</p>
Python,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://www.python.org/about/"">Python</a> is an interpreted, high-level and general-purpose programming language mostly used for developing AI applications.</p>"
OAuth 2.0,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://oauth.net/2/"">OAuth 2.0</a> is the industry-standard protocol for authorization. OAuth 2.0 focuses on client developer simplicity while providing specific authorization flows for web applications, desktop applications, mobile phones, and living room devices.</p>"
OpenID Connect,Adopt,languages-and-frameworks,TRUE,"<p><a href=""https://openid.net/connect/"">OpenID Connect</a> is a simple identity layer on top of the OAuth 2.0 protocol. It allows Clients to verify the identity of the End-User based on the authentication performed by an Authorization Server, as well as to obtain basic profile information about the End-User in an interoperable and REST-like manner.</p>"
